Format,Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
T20,S Dhawan,DNB,-,-,-,-,1,,v New Zealand,Wellington,6 Feb 2019,
T20,RG Sharma,DNB,-,-,-,-,1,,v New Zealand,Wellington,6 Feb 2019,
T20,V Shankar,DNB,-,-,-,-,1,,v New Zealand,Wellington,6 Feb 2019,
T20,RR Pant,DNB,-,-,-,-,1,,v New Zealand,Wellington,6 Feb 2019,
T20,MS Dhoni,DNB,-,-,-,-,1,,v New Zealand,Auckland,8 Feb 2019,
T20,KD Karthik,DNB,-,-,-,-,1,,v New Zealand,Auckland,8 Feb 2019,
T20,S Dhawan,DNB,-,-,-,-,1,,v New Zealand,Auckland,8 Feb 2019,
T20,RG Sharma,DNB,-,-,-,-,1,,v New Zealand,Auckland,8 Feb 2019,
T20,V Shankar,DNB,-,-,-,-,1,,v New Zealand,Auckland,8 Feb 2019,
T20,RR Pant,DNB,-,-,-,-,1,,v New Zealand,Auckland,8 Feb 2019,
T20,MS Dhoni,DNB,-,-,-,-,1,,v New Zealand,Hamilton,10 Feb 2019,
T20,KD Karthik,DNB,-,-,-,-,1,,v New Zealand,Hamilton,10 Feb 2019,
T20,S Dhawan,DNB,-,-,-,-,1,,v New Zealand,Hamilton,10 Feb 2019,
T20,RG Sharma,DNB,-,-,-,-,1,,v New Zealand,Hamilton,10 Feb 2019,
T20,V Shankar,DNB,-,-,-,-,1,,v New Zealand,Hamilton,10 Feb 2019,
T20,RR Pant,DNB,-,-,-,-,1,,v New Zealand,Hamilton,10 Feb 2019,
T20,MS Dhoni,DNB,-,-,-,-,2,,v Australia,Visakhapatnam,24 Feb 2019,
T20,KD Karthik,DNB,-,-,-,-,2,,v Australia,Visakhapatnam,24 Feb 2019,
T20,RG Sharma,DNB,-,-,-,-,2,,v Australia,Visakhapatnam,24 Feb 2019,
T20,V Kohli,DNB,-,-,-,-,2,,v Australia,Visakhapatnam,24 Feb 2019,
T20,KL Rahul,DNB,-,-,-,-,2,,v Australia,Visakhapatnam,24 Feb 2019,
T20,RR Pant,DNB,-,-,-,-,2,,v Australia,Visakhapatnam,24 Feb 2019,
T20,MS Dhoni,DNB,-,-,-,-,2,,v Australia,Bengaluru,27 Feb 2019,
T20,KD Karthik,DNB,-,-,-,-,2,,v Australia,Bengaluru,27 Feb 2019,
T20,S Dhawan,DNB,-,-,-,-,2,,v Australia,Bengaluru,27 Feb 2019,
T20,V Kohli,DNB,-,-,-,-,2,,v Australia,Bengaluru,27 Feb 2019,
T20,KL Rahul,DNB,-,-,-,-,2,,v Australia,Bengaluru,27 Feb 2019,
T20,RR Pant,DNB,-,-,-,-,2,,v Australia,Bengaluru,27 Feb 2019,
T20,S Dhawan,DNB,-,-,-,-,1,,v West Indies,Lauderhill,3 Aug 2019,
